ID,Name,Length,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Release,Album
08gavXombT6KR0af88i9tA,Jump Then Fall,237066,0.618,0.687,2,-5.737,1,0.0271,0.111,0,0.0693,0.82,79.991,2008,Fearless
2IZ00ed83ygPIiacYScWUE,Untouchable,311040,0.419,0.454,5,-6.809,1,0.0335,0.0583,3.78E-06,0.0974,0.288,200.017,2008,Fearless
46HGgtwmmuEB8mvDCyjyAc,Forever & Always - Piano Version,267506,0.592,0.16,9,-10.785,1,0.0347,0.852,0,0.116,0.294,118.929,2008,Fearless
4pl5zcqCv4vc3cB7M4MZ6f,Come In With The Rain,238106,0.527,0.475,2,-6.205,1,0.0258,0.0868,4.34E-06,0.248,0.224,143.962,2008,Fearless
14Bljc3pOOG0xQX3wqhLN9,SuperStar,261453,0.61,0.531,2,-6.123,1,0.0239,0.367,0,0.351,0.228,85.979,2008,Fearless
0xvsgzM8AtBtRHZm5rav8A,The Other Side Of The Door,237600,0.476,0.816,4,-4.279,1,0.0347,0.169,0,0.238,0.469,163.847,2008,Fearless
3F6czr26ZwGU5O5CHY04Ma,Fearless,242000,0.598,0.714,5,-4.397,1,0.0273,0.0364,1.04E-06,0.31,0.467,99.979,2008,Fearless
3M0w3fhdXByHLCNAoi5c9G,Fifteen,294346,0.559,0.636,7,-4.4,1,0.0263,0.0728,0,0.144,0.214,95.485,2008,Fearless
0kN3oXYWWAk1uC0y2WoyOE,Love Story,235280,0.618,0.736,2,-3.937,1,0.0308,0.157,0,0.073,0.307,118.982,2008,Fearless
6wcFdMmiDscAhZJrcVFumx,Hey Stephen,254320,0.843,0.553,6,-7.348,1,0.0317,0.168,2.66E-06,0.107,0.825,115.997,2008,Fearless
4jPtq9shRdUv8Zjr0a5xkD,White Horse,234440,0.585,0.346,0,-8.014,1,0.0256,0.302,0,0.102,0.195,92.564,2008,Fearless
3as6Wz3mwbTnusWhZjTUNr,You Belong With Me,231146,0.687,0.771,6,-4.424,1,0.0384,0.164,2.46E-05,0.112,0.445,129.964,2008,Fearless
6S9G7J3EB1ZY0rrZPwsBg5,Breathe,263986,0.498,0.486,1,-7.384,1,0.0273,0.373,0,0.113,0.17,147.952,2008,Fearless
4XrP7vKBjKLEYlRZdb0Ygr,Tell Me Why,200560,0.601,0.852,7,-3.096,1,0.0386,0.0606,3.41E-06,0.37,0.513,100.015,2008,Fearless
6HWYtS215rxaaMjvpyG18W,You're Not Sorry,261800,0.459,0.459,6,-4.126,1,0.0275,0.13,2.30E-06,0.113,0.281,134.018,2008,Fearless
77VotUUL79U10TAnYdqwvr,The Way I Loved You,244240,0.436,0.712,5,-3.689,1,0.0329,0.0322,0,0.111,0.379,160.886,2008,Fearless
1zxrcAk6eiytfavqriMcKT,Forever & Always,225333,0.605,0.829,10,-4.993,1,0.0549,0.0907,0,0.106,0.514,128.012,2008,Fearless
5YbZZ2gYfvW1UvHHF4pVaD,The Best Day,245346,0.664,0.447,1,-8.535,1,0.0292,0.611,1.00E-06,0.139,0.364,126.079,2008,Fearless
0RdcBnAXyH2YZZvcBVu2k6,Change,281053,0.548,0.756,5,-4.175,1,0.036,0.00471,0,0.117,0.224,96.038,2008,Fearless
0Om9WAB5RS09L80DyOfTNa,Tim McGraw,232106,0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,2006,Taylor Swift
32mVHdy0bi1XKgr0ajsBlG,Picture To Burn,173066,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,2006,Taylor Swift
7zMcNqs55Mxer82bvZFkpg,Teardrops On My Guitar - Radio Single Remix,203040,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,2006,Taylor Swift
73OX8GdpOeGzKC6OvGSbsv,A Place in this World,199200,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,2006,Taylor Swift
7an1exwMnfYRcdVQm0yDev,Cold As You,239013,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,2006,Taylor Swift
2QA3IixpRcKyOdG7XDzRgv,The Outside,207106,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,2006,Taylor Swift
6K0CJLVXqbGMeJSmJ4ENKK,Tied Together with a Smile,248106,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,2006,Taylor Swift
2ZoOmCSgj0ypVAmGd1ve4y,Stay Beautiful,236053,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,2006,Taylor Swift
16MVSD0mGI4RMQT83Qzm69,Should've Said No,242200,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,2006,Taylor Swift
2QrQCMel6v2JiLxqrg4p2O,Mary's Song (Oh My My My),213080,0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,2006,Taylor Swift
15DeqWWQB4dcEWzJg15VrN,Our Song,201106,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,2006,Taylor Swift
0JIdBrXGSJXS72zjF9ss9u,I'm Only Me When I'm With You,213053,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,2006,Taylor Swift
5OOd01o2YS1QFwdpVLds3r,Invisible,203226,0.612,0.394,7,-5.723,1,0.0243,0.637,0,0.147,0.233,96.001,2006,Taylor Swift
1spLfUJxtyVyiKKTegQ2r4,A Perfectly Good Heart,220146,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,2006,Taylor Swift
4pJi1rVt9GNegU9kywjg4z,Teardrops on My Guitar - Pop Version,179066,0.459,0.753,10,-3.827,1,0.0537,0.0402,0,0.0863,0.483,199.997,2006,Taylor Swift
6LZaxlycSWrJZ4Volb25qx,Mine,230706,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,2010,Speak Now
1q8E1FfFuhd12c5JcJwPxQ,Sparks Fly,260933,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42E-06,0.163,0.374,114.987,2010,Speak Now
7lxADouiWFkwR7ZV2GKUcH,Back To December,293026,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,2010,Speak Now
1nYWTzy5zu3zEPNgB1sItW,Speak Now,240760,0.709,0.599,7,-3.734,1,0.0304,0.095,0,0.0973,0.735,118.975,2010,Speak Now
1ubvV5ECkm6nSI6g1HmbBK,Dear John,403920,0.589,0.47,4,-5.32,1,0.028,0.166,1.45E-06,0.112,0.102,119.386,2010,Speak Now
4N60XfcTE1ysLZGbYgnYXq,Mean,237733,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,2010,Speak Now
19tHCfzUSoy5HkpxcmbA0A,The Story Of Us,265666,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,2010,Speak Now
74WBGgUnpKrJXt6TETfR6Z,Never Grow Up,290466,0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,2010,Speak Now
14LtANuaslKWyYbktUrHBU,Enchanted,352186,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,2010,Speak Now
1By2VQkUN0Frd8mKNV5NYC,Better Than Revenge,217160,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37E-06,0.36,0.635,145.821,2010,Speak Now
3kfgJql90tzgoxByioAMXR,Innocent,302253,0.552,0.608,1,-5.29,0,0.0259,0.186,0,0.125,0.17,134.05,2010,Speak Now
11UaQaEp2LvdspTyyuE3ur,Haunted,242080,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08E-06,0.149,0.352,162.088,2010,Speak Now
1D27z8xNzjW0Mwwt1NCWhJ,Last Kiss,367133,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09E-05,0.101,0.196,89.038,2010,Speak Now
7DjCRhhFo9PPzca1BjMLcf,Long Live,317453,0.418,0.68,7,-4.3,1,0.0347,0.036,7.59E-05,0.114,0.142,204.12,2010,Speak Now
1EQn3Uc5AyUXoiPLeyCrrg,Ours,237920,0.608,0.569,0,-7.227,1,0.0284,0.537,0,0.097,0.238,159.845,2010,Speak Now
0vvt4IZOMkRug195S4MUq0,If This Was A Movie,234546,0.511,0.719,4,-3.457,1,0.0265,0.166,4.54E-06,0.34,0.289,147.852,2010,Speak Now
2R7C9dDqv1UPycvepBFziA,Superman,275960,0.582,0.765,7,-3.648,1,0.0324,0.0268,1.95E-06,0.103,0.559,131.982,2010,Speak Now
6IH2Z54gYPLqgJtxZjX80i,Back To December - Acoustic,292560,0.541,0.453,2,-6.459,1,0.0266,0.748,0,0.2,0.377,141.757,2010,Speak Now
62rlxI6g2PNaWsHoiRryto,Haunted - Acoustic Version,217613,0.563,0.443,5,-5.078,1,0.0247,0.842,0,0.293,0.313,80.962,2010,Speak Now
0fAbfDiuQiUwV7FUcFfRGY,Mine - POP Mix,230333,0.695,0.723,7,-3.806,1,0.0285,0.00727,1.20E-06,0.1,0.679,121.011,2010,Speak Now
5zyCYmiaVE5y26EZuwZbsw,State Of Grace,295186,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,2012,Red
1RvQQGwaPipiNgz8RXAKA8,Red,220826,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,2012,Red
0XfOV7qY3834QpFVwOb6CC,Treacherous,240773,0.705,0.621,2,-8.086,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,2012,Red
0ciHz919LVKoH4zgxyMPZ9,I Knew You Were Trouble.,217973,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25E-06,0.0398,0.679,77.019,2012,Red
1q3RiD1tIWUpGsNFADMlvl,All Too Well,327893,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,2012,Red
